id,optimization,generation,hash,hash,elapsed_time,age,evaluation_status,evaluation_year,evaluation_start_time,tree,error_string,pickle,"FullDataSet False Positives","FullDataSet False Negatives","FullDataSet Num Elements"
1,0,0,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
2,0,0,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,173.85,0,NOT_EVALUATED,0,"2020-03-05 04:26:41","AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",NULL,...,16.2,21.8,44
3,0,1,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
4,0,1,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,173.85,0,NOT_EVALUATED,0,"2020-03-05 04:26:41","AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",NULL,...,16.2,21.8,44
5,0,2,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
6,0,2,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
7,0,2,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,173.85,0,NOT_EVALUATED,0,"2020-03-05 04:26:41","AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",NULL,...,16.2,21.8,44
8,0,3,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
9,0,3,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
10,0,3,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
11,0,3,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,b601d43d5f14cd9c4239e168d8e13cecff7b8ba76c6b88030845c0a948d5e9f9,173.85,0,NOT_EVALUATED,0,"2020-03-05 04:26:41","AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",NULL,...,16.2,21.8,44
12,0,4,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
13,0,4,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
14,0,4,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
15,0,4,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
16,0,5,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
17,0,5,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
18,0,5,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
19,0,5,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
20,0,6,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,1b9adb67ff0b244c6c4e843bf69b605727fc578e61230117b87a9a3ac175f010,786.134,0,NOT_EVALUATED,0,"2020-03-05 04:30:13","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,18.8,19,35
21,0,6,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
22,0,6,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
23,0,6,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,234.486,1,EVALUATED,5,"2020-03-05 05:18:26","AdaBoostLearner(ARG0, learnerType('Bayes', None), myIntAdd(3, ifThenElseBool(trueBool, falseBool, falseBool)), myFloatDiv(0.1, 0.1))",NULL,...,22.8,22,24
24,0,6,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
25,0,6,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,158.369,1,EVALUATED,5,"2020-03-05 05:20:32","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, lessThan(myFloatMult(1.0, 1.0), myFloatMult(0.01, 1.0))), myFloatDiv(0.1, 0.1))",NULL,...,10.6,47.8,32
26,0,7,12aa3543a27fa73b4c069da5942d28f15efdec39ee53b9c3d19dfa030bc37041,12aa3543a27fa73b4c069da5942d28f15efdec39ee53b9c3d19dfa030bc37041,225.041,0,NOT_EVALUATED,0,"2020-03-05 05:23:50","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,10,23,40
27,0,7,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
28,0,7,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
29,0,7,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,234.486,1,EVALUATED,5,"2020-03-05 05:18:26","AdaBoostLearner(ARG0, learnerType('Bayes', None), myIntAdd(3, ifThenElseBool(trueBool, falseBool, falseBool)), myFloatDiv(0.1, 0.1))",NULL,...,22.8,22,24
30,0,7,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
31,0,7,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,158.369,1,EVALUATED,5,"2020-03-05 05:20:32","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, lessThan(myFloatMult(1.0, 1.0), myFloatMult(0.01, 1.0))), myFloatDiv(0.1, 0.1))",NULL,...,10.6,47.8,32
32,0,7,f481f6f5121a3d3828534147fded88f41695df49a002abff629f907822790580,f481f6f5121a3d3828534147fded88f41695df49a002abff629f907822790580,178.099,1,EVALUATED,6,"2020-03-05 05:23:08","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), 100.0, passTriState(passTriState(0)))",NULL,...,18.8,19,28
33,0,8,12aa3543a27fa73b4c069da5942d28f15efdec39ee53b9c3d19dfa030bc37041,12aa3543a27fa73b4c069da5942d28f15efdec39ee53b9c3d19dfa030bc37041,225.041,0,NOT_EVALUATED,0,"2020-03-05 05:23:50","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,10,23,40
34,0,8,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
35,0,8,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
36,0,8,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,234.486,1,EVALUATED,5,"2020-03-05 05:18:26","AdaBoostLearner(ARG0, learnerType('Bayes', None), myIntAdd(3, ifThenElseBool(trueBool, falseBool, falseBool)), myFloatDiv(0.1, 0.1))",NULL,...,22.8,22,24
37,0,8,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
38,0,8,a93bf07ece1c73961897086c6acd21c69d2b5b2f010af939ba8efffc9c0f0a91,a93bf07ece1c73961897086c6acd21c69d2b5b2f010af939ba8efffc9c0f0a91,168.523,0,NOT_EVALUATED,0,"2020-03-05 05:30:29","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), falseBool, 128), passTriState(0), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,16.8,19,38
39,0,8,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,158.369,1,EVALUATED,5,"2020-03-05 05:20:32","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, lessThan(myFloatMult(1.0, 1.0), myFloatMult(0.01, 1.0))), myFloatDiv(0.1, 0.1))",NULL,...,10.6,47.8,32
40,0,8,f481f6f5121a3d3828534147fded88f41695df49a002abff629f907822790580,f481f6f5121a3d3828534147fded88f41695df49a002abff629f907822790580,178.099,1,EVALUATED,6,"2020-03-05 05:23:08","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), 100.0, passTriState(passTriState(0)))",NULL,...,18.8,19,28
41,0,9,12aa3543a27fa73b4c069da5942d28f15efdec39ee53b9c3d19dfa030bc37041,12aa3543a27fa73b4c069da5942d28f15efdec39ee53b9c3d19dfa030bc37041,225.041,0,NOT_EVALUATED,0,"2020-03-05 05:23:50","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,10,23,40
42,0,9,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,3dfbe5d5bbde19b518d360b5c9591d2a8291e759a438b6fed9f74198d3285e0c,184.878,0,NOT_EVALUATED,0,"2020-03-05 04:27:46","AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,0,68.4,29
43,0,9,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,50b0681f0cb707d5811316fcecef6aeb0e7e516186ac51f5cccfee16eca9c913,454.439,0,NOT_EVALUATED,0,"2020-03-05 04:45:26","BaggedLearner(ARG0, learnerType('Blup', None))",NULL,...,16.8,37.6,27
44,0,9,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,539f2774a759e8c8ef1471082444a840c1085f217eeccfdf3faa1a40a75b2459,234.486,1,EVALUATED,5,"2020-03-05 05:18:26","AdaBoostLearner(ARG0, learnerType('Bayes', None), myIntAdd(3, ifThenElseBool(trueBool, falseBool, falseBool)), myFloatDiv(0.1, 0.1))",NULL,...,22.8,22,24
45,0,9,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,625364a0a6c34ec014a0c4ca07f61875093b504aa47329058e60e2eb924fa15a,494.709,1,EVALUATED,1,"2020-03-05 04:57:03","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100, 0.01)",NULL,...,11.8,20,44
46,0,9,a93bf07ece1c73961897086c6acd21c69d2b5b2f010af939ba8efffc9c0f0a91,a93bf07ece1c73961897086c6acd21c69d2b5b2f010af939ba8efffc9c0f0a91,168.523,0,NOT_EVALUATED,0,"2020-03-05 05:30:29","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), falseBool, 128), passTriState(0), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,16.8,19,38
47,0,9,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,e37b3ead337c4a21bc31f8b60ba7c875f135bd2d28c36e0fa871b86bbdebdbac,158.369,1,EVALUATED,5,"2020-03-05 05:20:32","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, lessThan(myFloatMult(1.0, 1.0), myFloatMult(0.01, 1.0))), myFloatDiv(0.1, 0.1))",NULL,...,10.6,47.8,32
48,0,9,f481f6f5121a3d3828534147fded88f41695df49a002abff629f907822790580,f481f6f5121a3d3828534147fded88f41695df49a002abff629f907822790580,178.099,1,EVALUATED,6,"2020-03-05 05:23:08","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), 100.0, passTriState(passTriState(0)))",NULL,...,18.8,19,28
